source,target,relationship
6.G.A.4,7.G.B.6,dependency
6.NS.A.1,6.EE.B.7,dependency
6.NS.A.1,7.NS.A.2.c,dependency
6.NS.A.1,7.SP.B.3,dependency
6.NS.B.2,6.NS.B.3,dependency
6.NS.B.3,7.NS.A.3,dependency
6.NS.B.4,6.EE.A.3,dependency
6.NS.B.4,6.EE.A.4,dependency
6.NS.C.5,6.NS.C.6.a,dependency
6.NS.C.5,7.NS.A.1.a,dependency
6.NS.C.6.a,6.EE.B.8,dependency
6.NS.C.6.a,6.NS.C.6.b,dependency
6.NS.C.6.a,6.NS.C.6.c,dependency
6.NS.C.6.a,6.NS.C.7.c,dependency
6.NS.C.6.a,7.NS.A.1.a,dependency
6.NS.C.6.a,7.NS.A.1.b,dependency
6.NS.C.6.b,6.NS.C.6.c,conceptual connection
6.NS.C.6.b,6.NS.C.8,dependency
6.NS.C.6.c,6.EE.B.8,dependency
6.NS.C.6.c,6.NS.C.7.a,dependency
6.NS.C.6.c,6.NS.C.7.b,dependency
6.NS.C.7.a,6.EE.B.8,dependency
6.NS.C.7.a,6.NS.C.7.d,dependency
6.NS.C.7.b,6.EE.B.8,dependency
6.NS.C.7.b,6.NS.C.7.a,conceptual connection
6.NS.C.7.b,6.NS.C.7.d,dependency
6.NS.C.7.c,6.NS.C.7.d,dependency
6.NS.C.7.c,7.NS.A.1.b,dependency
6.NS.C.7.c,7.NS.A.1.c,dependency
6.NS.C.8,6.G.A.3,conceptual connection
6.NS.C.8,8.SP.A.1,dependency
6.RP.A.1,6.RP.A.2,dependency
6.RP.A.1,6.RP.A.3.a,dependency
6.RP.A.2,6.RP.A.3.b,dependency
6.RP.A.2,6.RP.A.3.c,dependency
6.RP.A.2,6.RP.A.3.d,dependency
6.RP.A.2,7.RP.A.1,dependency
6.RP.A.2,7.RP.A.2,dependency
6.RP.A.3,7.RP.A.2,dependency
6.RP.A.3,7.RP.A.3,dependency
6.RP.A.3,HSN.Q.A.1,dependency
6.RP.A.3.a,6.EE.C.9,conceptual connection
6.RP.A.3.a,6.RP.A.3.b,dependency
6.RP.A.3.c,6.EE.B.7,conceptual connection
6.SP.A.1,6.SP.A.3,dependency
6.SP.A.1,7.SP.A.1,dependency
6.SP.A.2,6.SP.A.3,dependency
6.SP.A.2,6.SP.B.5,dependency
6.SP.A.2,7.SP.A.1,dependency
6.SP.A.2,7.SP.B.3,dependency
6.SP.A.2,HSS.ID.A.2,dependency
6.SP.A.2,HSS.ID.A.3,dependency
6.SP.A.2,HSS.ID.A.4,dependency
6.SP.A.3,6.SP.B.5,dependency
6.SP.A.3,HSS.ID.A.2,dependency
6.SP.B.4,6.SP.B.5,conceptual connection
6.SP.B.4,HSS.ID.A.1,dependency
6.SP.B.5,HSS.IC.B.6,dependency
6.SP.B.5,HSS.ID.A.2,dependency
6.SP.B.5,HSS.ID.A.3,dependency
7.EE.A.1,7.EE.A.2,conceptual connection
7.EE.A.1,8.EE.C.7.b,dependency
7.EE.A.1,HSA.APR.A.1,dependency
7.EE.A.1,HSA.SSE.A.2,dependency
7.EE.A.1,HSA.SSE.B.3.a,dependency
7.EE.A.1,HSA.SSE.B.3.b,dependency
7.EE.A.1,HSF.IF.C.8.a,dependency
7.EE.A.1,HSF.IF.C.8.b,dependency
7.EE.A.1,HSN.CN.A.2,dependency
7.EE.A.2,HSA.SSE.A.1,dependency
7.EE.A.2,HSA.SSE.B.3.a,dependency
7.EE.A.2,HSA.SSE.B.3.b,dependency
7.EE.A.2,HSA.SSE.B.3.c,dependency
7.EE.B.3,8.EE.A.4,dependency
7.EE.B.4,HSA.CED.A.1,dependency
7.EE.B.4,HSA.REI.D.12,dependency
7.EE.B.4.a,7.EE.B.4.b,dependency
7.EE.B.4.a,8.EE.C.7.b,dependency
7.EE.B.4.a,8.EE.C.8,dependency
7.G.A.1,8.EE.B.6,dependency
7.G.A.1,HSG.MG.A.3,dependency
7.G.A.2,8.G.A.1,dependency
7.G.A.2,HSG.CO.B.8,dependency
7.G.A.2,HSG.CO.D.12,dependency
7.G.A.3,HSG.GMD.B.4,dependency
7.G.B.4,HSG.GMD.A.1,dependency
7.G.B.4,HSG.MG.A.1,dependency
7.G.B.4,HSG.MG.A.3,dependency
7.G.B.5,8.G.A.1,dependency
7.G.B.5,HSG.CO.C.9,dependency
7.G.B.6,8.G.B.6,dependency
7.G.B.6,HSG.MG.A.1,dependency
7.G.B.6,HSG.MG.A.3,dependency
7.NS.A.1.a,7.NS.A.1.b,conceptual connection
7.NS.A.1.b,7.NS.A.1.c,dependency
7.NS.A.1.b,7.NS.A.1.d,dependency
7.NS.A.1.c,7.NS.A.1.d,dependency
7.NS.A.1.d,7.NS.A.2.a,dependency
7.NS.A.1.d,7.NS.A.3,dependency
7.NS.A.2.a,7.NS.A.2.b,conceptual connection
7.NS.A.2.a,7.NS.A.2.c,conceptual connection
7.NS.A.2.c,7.NS.A.2.b,conceptual connection
7.NS.A.2.c,7.NS.A.3,dependency
